Estado,Sembrada_ha,Cosechada_ha,Año,Mes,Tipo_sequia,perdida_ha,producto
Chiapas,587615,76079,2010,10,NPS,511536,maiz
Chihuahua,156779,39361,2010,10,D0,117418,maiz
Durango,160948,7291,2010,10,NPS,153657,maiz
Guanajuato,283843,4318,2010,10,NPS,279525,maiz
Guerrero,442356,59123,2010,10,NPS,383233,maiz
Hidalgo,170398,17100,2010,10,NPS,153298,maiz
Jalisco,564251,51055,2010,10,NPS,513196,maiz
Estado de México,462362,200,2010,10,NPS,462162,maiz
Michoacán de Ocampo,376866,23812,2010,10,NPS,353054,maiz
Nayarit,36373,137,2010,10,NPS,36236,maiz
Nuevo León,3613,25,2010,10,NPS,3588,maiz
Oaxaca,515613,46496,2010,10,NPS,469117,maiz
Puebla,516522,34813,2010,10,NPS,481709,maiz
Quintana Roo,64580,12872,2010,10,D0,51708,maiz
San Luis Potosí,236525,31050,2010,10,NPS,205475,maiz
Tabasco,47068,13968,2010,10,NPS,33100,maiz
Tamaulipas,54667,16503,2010,10,NPS,38164,maiz
Tlaxcala,105767,10252,2010,10,NPS,95515,maiz
Veracruz de Ignacio de la Llave,385003,53714,2010,10,NPS,331289,maiz
Yucatán,144249,15695,2010,10,NPS,128554,maiz
Zacatecas,241902,10326,2010,10,NPS,231576,maiz
Coahuila de Zaragoza,12047,74,2010,10,NPS,11973,maiz
Aguascalientes,44774,12811,2010,11,NPS,31963,maiz
Baja California,57,57,2010,11,NPS,0,maiz
Campeche,147472,19508,2010,11,NPS,127964,maiz
Coahuila de Zaragoza,28528,22944,2010,11,D2,5584,maiz
Colima,9294,4212,2010,11,D0,5082,maiz
Chiapas,587615,178185,2010,11,NPS,409430,maiz
Chihuahua,156779,147076,2010,11,NPS,9703,maiz
Ciudad de México,5647,2607,2010,11,NPS,3040,maiz
Durango,160581,78612,2010,11,NPS,81969,maiz
Guanajuato,283843,68938,2010,11,NPS,214905,maiz
Guerrero,442364,213548,2010,11,NPS,228816,maiz
Hidalgo,170478,117391,2010,11,NPS,53087,maiz
Jalisco,564251,134736,2010,11,NPS,429515,maiz
Estado de México,462362,125628,2010,11,NPS,336734,maiz
Michoacán de Ocampo,376866,87871,2010,11,NPS,288995,maiz
Morelos,26709,14439,2010,11,NPS,12270,maiz
Nayarit,36453,6249,2010,11,NPS,30204,maiz
Nuevo León,17617,15628,2010,11,NPS,1989,maiz
Oaxaca,515613,263269,2010,11,NPS,252344,maiz
Puebla,516522,196098,2010,11,NPS,320424,maiz
Querétaro de Arteaga,93202,17091,2010,11,NPS,76111,maiz
Quintana Roo,64580,30864,2010,11,NPS,33716,maiz
San Luis Potosí,236525,85318,2010,11,NPS,151207,maiz
Sinaloa,34196,18464,2010,11,D0,15732,maiz
Sonora,4119,8,2010,11,NPS,4111,maiz
Tabasco,48133,24249,2010,11,NPS,23884,maiz
Tamaulipas,54669,25148,2010,11,NPS,29521,maiz
Tlaxcala,103886,33971,2010,11,NPS,69915,maiz
Veracruz de Ignacio de la Llave,385125,166823,2010,11,NPS,218302,maiz
Yucatán,144249,32665,2010,11,D0,111584,maiz
Zacatecas,241902,104172,2010,11,NPS,137730,maiz
Coahuila de Zaragoza,12047,3133,2010,11,D2,8914,maiz
Aguascalientes,39361,12833,2011,1,NPS,26528,maiz
Baja California,57,57,2011,1,NPS,0,maiz
Campeche,148460,126244,2011,1,NPS,22216,maiz
Coahuila de Zaragoza,28528,28038,2011,1,D0,490,maiz
Colima,9294,9293,2011,1,D0,1,maiz
Chiapas,587617,487768,2011,1,NPS,99849,maiz
Chihuahua,156779,152678,2011,1,D0,4101,maiz
Ciudad de México,5647,5497,2011,1,NPS,150,maiz
Durango,160581,142639,2011,1,NPS,17942,maiz
Guanajuato,283843,179815,2011,1,D0,104028,maiz
Guerrero,442364,400144,2011,1,NPS,42220,maiz
Hidalgo,170478,137246,2011,1,NPS,33232,maiz
Jalisco,564251,488755,2011,1,D0,75496,maiz
Estado de México,462362,413512,2011,1,NPS,48850,maiz
Michoacán de Ocampo,376866,318123,2011,1,D0,58743,maiz
Morelos,26709,24983,2011,1,NPS,1726,maiz
Nayarit,36453,29954,2011,1,D0,6499,maiz
Nuevo León,21801,20791,2011,1,NPS,1010,maiz
Oaxaca,515613,433193,2011,1,NPS,82420,maiz
Puebla,516522,461362,2011,1,NPS,55160,maiz
Querétaro de Arteaga,93922,75851,2011,1,NPS,18071,maiz
Quintana Roo,64580,53790,2011,1,NPS,10790,maiz
San Luis Potosí,236525,127902,2011,1,NPS,108623,maiz
Sinaloa,34246,26680,2011,1,D0,7566,maiz
Sonora,4119,290,2011,1,D0,3829,maiz
Tabasco,48133,31602,2011,1,NPS,16531,maiz
Tamaulipas,54669,42187,2011,1,NPS,12482,maiz
Tlaxcala,103886,103359,2011,1,NPS,527,maiz
Veracruz de Ignacio de la Llave,385125,279265,2011,1,NPS,105860,maiz
Yucatán,144249,118360,2011,1,NPS,25889,maiz
Zacatecas,241902,147881,2011,1,NPS,94021,maiz
Coahuila de Zaragoza,12047,4406,2011,1,D0,7641,maiz
Aguascalientes,39361,12833,2011,2,NPS,26528,maiz
Baja California,57,57,2011,2,NPS,0,maiz
Campeche,148460,137180,2011,2,D0,11280,maiz
Coahuila de Zaragoza,28528,28038,2011,2,NPS,490,maiz
Colima,9294,9293,2011,2,NPS,1,maiz
Chiapas,587617,540930,2011,2,NPS,46687,maiz
Chihuahua,156779,152678,2011,2,D0,4101,maiz
Ciudad de México,5647,5497,2011,2,NPS,150,maiz
Durango,160581,143185,2011,2,NPS,17396,maiz
Guanajuato,283843,179815,2011,2,NPS,104028,maiz
Guerrero,442364,430456,2011,2,NPS,11908,maiz
Hidalgo,170478,137246,2011,2,NPS,33232,maiz
Jalisco,564251,523624,2011,2,D0,40627,maiz
Estado de México,462362,445291,2011,2,NPS,17071,maiz
Michoacán de Ocampo,376866,357062,2011,2,D0,19804,maiz
Morelos,26709,26709,2011,2,NPS,0,maiz
Nayarit,36453,33725,2011,2,D0,2728,maiz
Nuevo León,21801,20791,2011,2,NPS,1010,maiz
Oaxaca,515613,463675,2011,2,NPS,51938,maiz
Puebla,516522,479882,2011,2,NPS,36640,maiz
Querétaro de Arteaga,93922,79022,2011,2,NPS,14900,maiz
Quintana Roo,64580,59112,2011,2,D0,5468,maiz
San Luis Potosí,236525,133079,2011,2,NPS,103446,maiz
Sinaloa,34246,26680,2011,2,D0,7566,maiz
Sonora,4109,3599,2011,2,D2,510,maiz
Tabasco,48133,31602,2011,2,NPS,16531,maiz
Tamaulipas,54669,45099,2011,2,NPS,9570,maiz
Tlaxcala,103886,103359,2011,2,NPS,527,maiz
Veracruz de Ignacio de la Llave,385125,311838,2011,2,NPS,73287,maiz
Yucatán,144249,131806,2011,2,D0,12443,maiz
Zacatecas,241902,149146,2011,2,NPS,92756,maiz
Coahuila de Zaragoza,12047,4952,2011,2,NPS,7095,maiz
Chiapas,572338,600,2011,7,NPS,571738,maiz
Nayarit,25545,11,2011,7,D2,25534,maiz
Coahuila de Zaragoza,5463,7,2011,8,D3,5456,maiz
Chiapas,592676,600,2011,8,NPS,592076,maiz
Hidalgo,164793,2379,2011,8,D1,162414,maiz
Nayarit,34204,11,2011,8,D1,34193,maiz
Tabasco,46652,5085,2011,8,D1,41567,maiz
Veracruz de Ignacio de la Llave,362498,4719,2011,8,D1,357779,maiz
Coahuila de Zaragoza,17282,5,2011,9,D3,17277,maiz
Chiapas,594973,29526,2011,9,NPS,565447,maiz
Chihuahua,55288,1471,2011,9,D2,53817,maiz
Hidalgo,165093,6141,2011,9,NPS,158952,maiz
Nayarit,35294,11,2011,9,NPS,35283,maiz
Nuevo León,6608,200,2011,9,D3,6408,maiz
Oaxaca,519570,4450,2011,9,NPS,515120,maiz
Sinaloa,13667,4265,2011,9,NPS,9402,maiz
Tabasco,48907,13363,2011,9,NPS,35544,maiz
Veracruz de Ignacio de la Llave,370853,8795,2011,9,NPS,362058,maiz
Yucatán,142704,350,2011,9,NPS,142354,maiz
Campeche,161194,5005,2011,10,NPS,156189,maiz
Coahuila de Zaragoza,24483,18,2011,10,D4,24465,maiz
Colima,8521,10,2011,10,NPS,8511,maiz
Chiapas,594973,65752,2011,10,NPS,529221,maiz
Chihuahua,55288,11279,2011,10,D3,44009,maiz
Ciudad de México,5199,326,2011,10,D0,4873,maiz
Durango,117352,9891,2011,10,D3,107461,maiz
Guerrero,436515,24643,2011,10,NPS,411872,maiz
Hidalgo,165768,12486,2011,10,D0,153282,maiz
Jalisco,564005,8301,2011,10,D2,555704,maiz
Estado de México,413517,1722,2011,10,D0,411795,maiz
Michoacán de Ocampo,359539,3366,2011,10,D0,356173,maiz
Nayarit,35351,11,2011,10,NPS,35340,maiz
Nuevo León,7129,1450,2011,10,D3,5679,maiz
Oaxaca,519570,45633,2011,10,NPS,473937,maiz
Puebla,511151,100,2011,10,NPS,511051,maiz
Querétaro de Arteaga,86142,6,2011,10,D2,86136,maiz
Quintana Roo,63639,3548,2011,10,NPS,60091,maiz
San Luis Potosí,172742,430,2011,10,D1,172312,maiz
Sinaloa,18394,4265,2011,10,D1,14129,maiz
Sonora,1990,111,2011,10,D3,1879,maiz
Tabasco,48907,27038,2011,10,NPS,21869,maiz
Tlaxcala,105783,10397,2011,10,NPS,95386,maiz
Veracruz de Ignacio de la Llave,376223,88653,2011,10,D0,287570,maiz
Yucatán,142704,13606,2011,10,NPS,129098,maiz
Zacatecas,187470,2866,2011,10,D3,184604,maiz
Campeche,161194,24482,2011,11,NPS,136712,maiz
Coahuila de Zaragoza,14765,2100,2011,11,D4,12665,maiz
Colima,9862,4435,2011,11,NPS,5427,maiz
Chiapas,594973,157669,2011,11,NPS,437304,maiz
Chihuahua,55288,20514,2011,11,D3,34774,maiz
Ciudad de México,5199,2413,2011,11,D0,2786,maiz
Durango,117352,32773,2011,11,D3,84579,maiz
Guanajuato,286234,40122,2011,11,D2,246112,maiz
Guerrero,436553,269804,2011,11,NPS,166749,maiz
Hidalgo,165768,74670,2011,11,D0,91098,maiz
Jalisco,564005,159336,2011,11,D2,404669,maiz
Estado de México,416771,92264,2011,11,D0,324507,maiz
Michoacán de Ocampo,359539,88113,2011,11,D0,271426,maiz
Morelos,26090,13614,2011,11,NPS,12476,maiz
Nayarit,35351,10749,2011,11,NPS,24602,maiz
Nuevo León,7129,1606,2011,11,D3,5523,maiz
Oaxaca,519570,239407,2011,11,NPS,280163,maiz
Puebla,511151,167111,2011,11,NPS,344040,maiz
Querétaro de Arteaga,86142,3906,2011,11,D2,82236,maiz
Quintana Roo,63639,28403,2011,11,NPS,35236,maiz
San Luis Potosí,172742,10946,2011,11,D2,161796,maiz
Sinaloa,36390,6575,2011,11,D1,29815,maiz
Sonora,2890,354,2011,11,D0,2536,maiz
Tabasco,48907,27038,2011,11,NPS,21869,maiz
Tamaulipas,54881,13742,2011,11,D1,41139,maiz
Tlaxcala,105782,22589,2011,11,NPS,83193,maiz
Veracruz de Ignacio de la Llave,376453,176984,2011,11,D0,199469,maiz
Yucatán,142704,54255,2011,11,NPS,88449,maiz
Zacatecas,187470,40887,2011,11,D3,146583,maiz
Coahuila de Zaragoza,10329,68,2011,11,D4,10261,maiz
Campeche,161194,125784,2012,1,NPS,35410,maiz
Coahuila de Zaragoza,14765,2112,2012,1,D3,12653,maiz
Colima,9862,7336,2012,1,D0,2526,maiz
Chiapas,594973,480880,2012,1,NPS,114093,maiz
Chihuahua,55288,20546,2012,1,D3,34742,maiz
Ciudad de México,5199,4433,2012,1,D0,766,maiz
Durango,115791,62249,2012,1,D3,53542,maiz
Guanajuato,286234,97430,2012,1,D2,188804,maiz
Guerrero,436553,418728,2012,1,NPS,17825,maiz
Hidalgo,165768,123068,2012,1,D0,42700,maiz
Jalisco,564005,446512,2012,1,D1,117493,maiz
Estado de México,406944,257415,2012,1,D0,149529,maiz
Michoacán de Ocampo,359539,299031,2012,1,D1,60508,maiz
Morelos,26090,24228,2012,1,NPS,1862,maiz
Nayarit,36021,35622,2012,1,D1,399,maiz
Nuevo León,7129,1720,2012,1,D2,5409,maiz
Oaxaca,519570,487473,2012,1,NPS,32097,maiz
Puebla,511151,353046,2012,1,NPS,158105,maiz
Querétaro de Arteaga,86142,23728,2012,1,D1,62414,maiz
Quintana Roo,63639,57539,2012,1,NPS,6100,maiz
San Luis Potosí,172742,66391,2012,1,D0,106351,maiz
Sinaloa,39620,13212,2012,1,D1,26408,maiz
Sonora,2904,2654,2012,1,D0,250,maiz
Tabasco,48907,43516,2012,1,NPS,5391,maiz
Tamaulipas,54881,17429,2012,1,D0,37452,maiz
Tlaxcala,105782,61576,2012,1,NPS,44206,maiz
Veracruz de Ignacio de la Llave,376568,329553,2012,1,NPS,47015,maiz
Yucatán,142771,131025,2012,1,NPS,11746,maiz
Zacatecas,187470,54346,2012,1,D3,133124,maiz
Coahuila de Zaragoza,10329,98,2012,1,D3,10231,maiz
Campeche,162021,159546,2012,2,NPS,2475,maiz
Coahuila de Zaragoza,14765,2112,2012,2,D3,12653,maiz
Colima,9862,7537,2012,2,NPS,2325,maiz
Chiapas,594973,576391,2012,2,NPS,18582,maiz
Chihuahua,55288,20546,2012,2,D3,34742,maiz
Ciudad de México,5199,4433,2012,2,NPS,766,maiz
Durango,115791,62249,2012,2,D3,53542,maiz
Guanajuato,286234,97430,2012,2,D1,188804,maiz
Guerrero,436553,426850,2012,2,NPS,9703,maiz
Hidalgo,165768,123068,2012,2,NPS,42700,maiz
Jalisco,564005,480256,2012,2,NPS,83749,maiz
Estado de México,406944,257415,2012,2,NPS,149529,maiz
Michoacán de Ocampo,359539,331209,2012,2,NPS,28330,maiz
Morelos,26090,26090,2012,2,NPS,0,maiz
Nayarit,36021,35622,2012,2,D0,399,maiz
Nuevo León,7129,1743,2012,2,D2,5386,maiz
Oaxaca,519570,487473,2012,2,NPS,32097,maiz
Puebla,511151,374994,2012,2,NPS,136157,maiz
Querétaro de Arteaga,86142,23912,2012,2,D1,62230,maiz
Quintana Roo,63639,63639,2012,2,NPS,0,maiz
San Luis Potosí,172742,68787,2012,2,NPS,103955,maiz
Sinaloa,39620,33479,2012,2,D1,6141,maiz
Sonora,2904,2904,2012,2,D0,0,maiz
Tabasco,48907,43516,2012,2,NPS,5391,maiz
Tamaulipas,54881,26124,2012,2,NPS,28757,maiz
Tlaxcala,105782,71149,2012,2,NPS,34633,maiz
Veracruz de Ignacio de la Llave,376568,354117,2012,2,NPS,22451,maiz
Yucatán,142771,140254,2012,2,NPS,2517,maiz
Zacatecas,187470,54346,2012,2,D1,133124,maiz
Coahuila de Zaragoza,10329,98,2012,2,D3,10231,maiz
Coahuila de Zaragoza,11863,116,2012,8,D1,11747,maiz
Tabasco,49702,3702,2012,8,NPS,46000,maiz
Veracruz de Ignacio de la Llave,344831,1799,2012,8,NPS,343032,maiz
Baja California,294,13,2012,9,NPS,281,maiz
Campeche,160271,3767,2012,9,NPS,156504,maiz
Coahuila de Zaragoza,18456,140,2012,9,D1,18316,maiz
Colima,8562,3,2012,9,NPS,8559,maiz
Chiapas,591775,10745,2012,9,NPS,581030,maiz
Chihuahua,105630,1522,2012,9,D1,104108,maiz
Guerrero,432525,1796,2012,9,NPS,430729,maiz
Oaxaca,519193,1436,2012,9,NPS,517757,maiz
Quintana Roo,71041,1155,2012,9,NPS,69886,maiz
Tabasco,50152,24053,2012,9,NPS,26099,maiz
Tamaulipas,46609,205,2012,9,NPS,46404,maiz
Veracruz de Ignacio de la Llave,371866,12814,2012,9,NPS,359052,maiz
Aguascalientes,35322,2891,2012,10,NPS,32431,maiz
Baja California,294,13,2012,10,NPS,281,maiz
Campeche,160271,18170,2012,10,NPS,142101,maiz
Coahuila de Zaragoza,18470,2998,2012,10,D1,15472,maiz
Colima,8758,107,2012,10,NPS,8651,maiz
Chiapas,591775,61454,2012,10,NPS,530321,maiz
Chihuahua,106030,19078,2012,10,D0,86952,maiz
Durango,130329,15137,2012,10,D0,115192,maiz
Guanajuato,274314,10396,2012,10,NPS,263918,maiz
Guerrero,432525,8358,2012,10,NPS,424167,maiz
Hidalgo,177795,7026,2012,10,NPS,170769,maiz
Jalisco,565486,15977,2012,10,NPS,549509,maiz
Estado de México,458851,13744,2012,10,NPS,445107,maiz
Michoacán de Ocampo,381218,3099,2012,10,NPS,378119,maiz
Morelos,22486,733,2012,10,NPS,21753,maiz
Nuevo León,28587,18132,2012,10,NPS,10455,maiz
Oaxaca,519193,34101,2012,10,NPS,485092,maiz
Puebla,505739,6142,2012,10,NPS,499597,maiz
Querétaro de Arteaga,89916,1540,2012,10,NPS,88376,maiz
Quintana Roo,71241,4487,2012,10,NPS,66754,maiz
San Luis Potosí,159282,300,2012,10,NPS,158982,maiz
Sinaloa,40991,2443,2012,10,NPS,38548,maiz
Sonora,2554,237,2012,10,NPS,2317,maiz
Tabasco,52802,41440,2012,10,NPS,11362,maiz
Tamaulipas,47238,205,2012,10,NPS,47033,maiz
Tlaxcala,101332,50,2012,10,NPS,101282,maiz
Veracruz de Ignacio de la Llave,374961,38202,2012,10,NPS,336759,maiz
Yucatán,133761,13894,2012,10,NPS,119867,maiz
Zacatecas,138154,15826,2012,10,NPS,122328,maiz
Aguascalientes,35322,13533,2012,11,NPS,21789,maiz
Baja California,294,13,2012,11,D0,281,maiz
Campeche,160271,47525,2012,11,NPS,112746,maiz
Coahuila de Zaragoza,18470,7537,2012,11,D1,10933,maiz
Colima,8758,1647,2012,11,NPS,7111,maiz
Chiapas,591775,160655,2012,11,NPS,431120,maiz
Chihuahua,80618,77713,2012,11,NPS,2905,maiz
Ciudad de México,4003,2405,2012,11,NPS,1598,maiz
Durango,127755,47625,2012,11,NPS,80130,maiz
Guanajuato,274314,87039,2012,11,NPS,187275,maiz
Guerrero,432525,214370,2012,11,NPS,218155,maiz
Hidalgo,177795,135558,2012,11,NPS,42237,maiz
Jalisco,565486,124070,2012,11,NPS,441416,maiz
Estado de México,458851,144238,2012,11,NPS,314613,maiz
Michoacán de Ocampo,381218,111642,2012,11,NPS,269576,maiz
Morelos,23122,7633,2012,11,NPS,15489,maiz
Nayarit,36666,5826,2012,11,NPS,30840,maiz
Nuevo León,28587,18228,2012,11,D0,10359,maiz
Oaxaca,519193,252285,2012,11,NPS,266908,maiz
Puebla,505739,174914,2012,11,NPS,330825,maiz
Querétaro de Arteaga,89916,8010,2012,11,NPS,81906,maiz
Quintana Roo,71241,10055,2012,11,NPS,61186,maiz
San Luis Potosí,159282,48236,2012,11,D0,111046,maiz
Sinaloa,41076,6319,2012,11,NPS,34757,maiz
Sonora,2560,554,2012,11,D1,2006,maiz
Tabasco,52802,47876,2012,11,NPS,4926,maiz
Tamaulipas,47238,15005,2012,11,NPS,32233,maiz
Tlaxcala,101332,14664,2012,11,NPS,86668,maiz
Veracruz de Ignacio de la Llave,375040,160855,2012,11,NPS,214185,maiz
Yucatán,133761,39035,2012,11,NPS,94726,maiz
Zacatecas,138154,46559,2012,11,D0,91595,maiz
Coahuila de Zaragoza,10259,6899,2012,11,D1,3360,maiz
Aguascalientes,35322,13533,2013,1,NPS,21789,maiz
Baja California,294,13,2013,1,D0,281,maiz
Campeche,160271,134933,2013,1,NPS,25338,maiz
Coahuila de Zaragoza,18470,8574,2013,1,D1,9896,maiz
Colima,8758,8668,2013,1,NPS,90,maiz
Chiapas,591775,525868,2013,1,NPS,65907,maiz
Chihuahua,80618,78070,2013,1,NPS,2548,maiz
Ciudad de México,4003,4003,2013,1,NPS,0,maiz
Durango,127755,118460,2013,1,NPS,9295,maiz
Guanajuato,274314,224606,2013,1,NPS,49708,maiz
Guerrero,432525,414241,2013,1,NPS,18284,maiz
Hidalgo,177795,167109,2013,1,NPS,10686,maiz
Jalisco,565486,527941,2013,1,NPS,37545,maiz
Estado de México,467578,431812,2013,1,NPS,35766,maiz
Michoacán de Ocampo,381218,348899,2013,1,NPS,32319,maiz
Morelos,23122,21404,2013,1,NPS,1718,maiz
Nayarit,36666,31760,2013,1,NPS,4906,maiz
Nuevo León,28587,26195,2013,1,D1,2392,maiz
Oaxaca,519193,516598,2013,1,NPS,2595,maiz
Puebla,505739,487812,2013,1,NPS,17927,maiz
Querétaro de Arteaga,89916,81496,2013,1,NPS,8420,maiz
Quintana Roo,71241,41038,2013,1,NPS,30203,maiz
San Luis Potosí,159282,67123,2013,1,NPS,92159,maiz
Sinaloa,41076,31691,2013,1,NPS,9385,maiz
Sonora,2560,2554,2013,1,D1,6,maiz
Tabasco,52802,51355,2013,1,NPS,1447,maiz
Tamaulipas,47238,19053,2013,1,D0,28185,maiz
Tlaxcala,101332,94173,2013,1,NPS,7159,maiz
Veracruz de Ignacio de la Llave,375040,341010,2013,1,NPS,34030,maiz
Yucatán,133766,105417,2013,1,NPS,28349,maiz
Zacatecas,138154,94296,2013,1,NPS,43858,maiz
Coahuila de Zaragoza,10259,8020,2013,1,D1,2239,maiz
Aguascalientes,35672,17099,2013,2,NPS,18573,maiz
Baja California,294,13,2013,2,D0,281,maiz
Campeche,160271,141993,2013,2,NPS,18278,maiz
Coahuila de Zaragoza,18470,8574,2013,2,D1,9896,maiz
Colima,8758,8668,2013,2,NPS,90,maiz
Chiapas,591775,590939,2013,2,NPS,836,maiz
Chihuahua,80618,78070,2013,2,NPS,2548,maiz
Ciudad de México,4003,4003,2013,2,D0,0,maiz
Durango,127755,118460,2013,2,NPS,9295,maiz
Guanajuato,274314,224606,2013,2,D0,49708,maiz
Guerrero,432525,424830,2013,2,NPS,7695,maiz
Hidalgo,177795,167109,2013,2,NPS,10686,maiz
Jalisco,565486,543877,2013,2,NPS,21609,maiz
Estado de México,467578,431812,2013,2,NPS,35766,maiz
Michoacán de Ocampo,381218,364094,2013,2,D0,17124,maiz
Morelos,23122,23122,2013,2,NPS,0,maiz
Nayarit,36666,35346,2013,2,D1,1320,maiz
Nuevo León,28587,26195,2013,2,D0,2392,maiz
Oaxaca,519193,516698,2013,2,NPS,2495,maiz
Puebla,505739,497699,2013,2,NPS,8040,maiz
Querétaro de Arteaga,89916,82966,2013,2,NPS,6950,maiz
Quintana Roo,71241,48901,2013,2,NPS,22340,maiz
San Luis Potosí,159282,69846,2013,2,NPS,89436,maiz
Sinaloa,41076,33822,2013,2,NPS,7254,maiz
Sonora,2560,2554,2013,2,D1,6,maiz
Tabasco,52802,51355,2013,2,D0,1447,maiz
Tamaulipas,47238,19595,2013,2,NPS,27643,maiz
Tlaxcala,101332,94178,2013,2,D0,7154,maiz
Veracruz de Ignacio de la Llave,375040,352284,2013,2,NPS,22756,maiz
Yucatán,133766,114788,2013,2,NPS,18978,maiz
Zacatecas,138154,96716,2013,2,NPS,41438,maiz
Coahuila de Zaragoza,10259,8020,2013,2,D1,2239,maiz
Coahuila de Zaragoza,14261,66,2013,8,NPS,14195,maiz
Chiapas,591374,2600,2013,8,NPS,588774,maiz
Quintana Roo,72009,1025,2013,8,NPS,70984,maiz
Tabasco,48385,3950,2013,8,NPS,44435,maiz
Veracruz de Ignacio de la Llave,377236,1799,2013,8,NPS,375437,maiz
Coahuila de Zaragoza,18839,258,2013,9,NPS,18581,maiz
Chiapas,592018,10657,2013,9,NPS,581361,maiz
Hidalgo,165225,605,2013,9,NPS,164620,maiz
Nuevo León,43242,19105,2013,9,NPS,24137,maiz
Oaxaca,518166,10036,2013,9,NPS,508130,maiz
Quintana Roo,73209,9745,2013,9,NPS,63464,maiz
San Luis Potosí,203346,20,2013,9,NPS,203326,maiz
Sonora,2587,2,2013,9,NPS,2585,maiz
Tabasco,50530,16775,2013,9,NPS,33755,maiz
Veracruz de Ignacio de la Llave,384703,11325,2013,9,NPS,373378,maiz
Yucatán,128888,1700,2013,9,NPS,127188,maiz
Aguascalientes,35780,7363,2013,10,NPS,28417,maiz
Baja California,218,218,2013,10,D1,0,maiz
Campeche,173581,592,2013,10,NPS,172989,maiz
Coahuila de Zaragoza,21994,3314,2013,10,NPS,18680,maiz
Colima,9582,6,2013,10,NPS,9576,maiz
Chiapas,592018,83063,2013,10,NPS,508955,maiz
Chihuahua,79536,32036,2013,10,NPS,47500,maiz
Ciudad de México,3957,60,2013,10,NPS,3897,maiz
Guanajuato,279836,14505,2013,10,NPS,265331,maiz
Guerrero,435828,4181,2013,10,NPS,431647,maiz
Hidalgo,165225,18586,2013,10,NPS,146639,maiz
Jalisco,541549,106582,2013,10,NPS,434967,maiz
Estado de México,456926,393,2013,10,NPS,456533,maiz
Michoacán de Ocampo,368061,23496,2013,10,NPS,344565,maiz
Nuevo León,43472,19131,2013,10,NPS,24341,maiz
Oaxaca,518166,54662,2013,10,NPS,463504,maiz
Puebla,487380,8854,2013,10,NPS,478526,maiz
Quintana Roo,74029,20266,2013,10,NPS,53763,maiz
San Luis Potosí,203346,15818,2013,10,NPS,187528,maiz
Sinaloa,42100,30,2013,10,NPS,42070,maiz
Sonora,2587,125,2013,10,NPS,2462,maiz
Tabasco,50530,35161,2013,10,NPS,15369,maiz
Tamaulipas,50409,2036,2013,10,NPS,48373,maiz
Tlaxcala,85992,4870,2013,10,NPS,81122,maiz
Veracruz de Ignacio de la Llave,384703,66823,2013,10,NPS,317880,maiz
Yucatán,129489,21670,2013,10,NPS,107819,maiz
Zacatecas,168121,11355,2013,10,NPS,156766,maiz
Aguascalientes,37091,33570,2013,11,NPS,3521,maiz
Baja California,218,218,2013,11,NPS,0,maiz
Campeche,173581,13607,2013,11,NPS,159974,maiz
Coahuila de Zaragoza,25849,14166,2013,11,NPS,11683,maiz
Colima,9582,2489,2013,11,NPS,7093,maiz
Chiapas,592018,163542,2013,11,NPS,428476,maiz
Chihuahua,79312,69193,2013,11,NPS,10119,maiz
Ciudad de México,3957,606,2013,11,NPS,3351,maiz
Durango,117622,43306,2013,11,NPS,74316,maiz
Guanajuato,279836,111571,2013,11,NPS,168265,maiz
Guerrero,435828,162348,2013,11,NPS,273480,maiz
Hidalgo,165225,81576,2013,11,NPS,83649,maiz
Jalisco,541549,184235,2013,11,NPS,357314,maiz
Estado de México,456926,89328,2013,11,NPS,367598,maiz
Michoacán de Ocampo,368061,124888,2013,11,NPS,243173,maiz
Morelos,24254,11532,2013,11,NPS,12722,maiz
Nayarit,39630,4728,2013,11,NPS,34902,maiz
Nuevo León,43472,37804,2013,11,NPS,5668,maiz
Oaxaca,518166,219687,2013,11,NPS,298479,maiz
Puebla,487380,170414,2013,11,NPS,316966,maiz
Querétaro de Arteaga,85811,15915,2013,11,NPS,69896,maiz
Quintana Roo,74029,37253,2013,11,NPS,36776,maiz
San Luis Potosí,203346,80336,2013,11,NPS,123010,maiz
Sinaloa,43834,3092,2013,11,NPS,40742,maiz
Sonora,2587,365,2013,11,NPS,2222,maiz
Tabasco,50530,45028,2013,11,NPS,5502,maiz
Tamaulipas,50409,24136,2013,11,NPS,26273,maiz
Tlaxcala,85992,14096,2013,11,NPS,71896,maiz
Veracruz de Ignacio de la Llave,384703,166931,2013,11,NPS,217772,maiz
Yucatán,129489,48623,2013,11,NPS,80866,maiz
Zacatecas,168121,93710,2013,11,NPS,74411,maiz
Coahuila de Zaragoza,10208,3806,2013,11,NPS,6402,maiz
Aguascalientes,37091,33570,2014,1,NPS,3521,maiz
Baja California,218,218,2014,1,D2,0,maiz
Campeche,173581,139744,2014,1,NPS,33837,maiz
Coahuila de Zaragoza,25849,25833,2014,1,NPS,16,maiz
Colima,9582,9424,2014,1,NPS,158,maiz
Chiapas,592018,515927,2014,1,NPS,76091,maiz
Chihuahua,79312,79170,2014,1,NPS,142,maiz
Ciudad de México,3957,3621,2014,1,NPS,336,maiz
Durango,130625,126002,2014,1,NPS,4623,maiz
Guanajuato,279836,269353,2014,1,NPS,10483,maiz
Guerrero,435828,340912,2014,1,NPS,94916,maiz
