ENTIDAD,Mes,Precipitacion,Año
NUEVO LEÓN,12,0.8,2007
OAXACA,12,8.3,2007
PUEBLA,12,25.5,2007
QUERÉTARO,12,1.0,2007
QUINTANA ROO,12,42.7,2007
SAN LUIS POTOSÍ,12,4.3,2007
SINALOA,12,31.7,2007
SONORA,12,20.5,2007
TABASCO,12,59.4,2007
TAMAULIPAS,12,3.3,2007
TLAXCALA,12,5.6,2007
VERACRUZ,12,54.9,2007
YUCATÁN,12,6.6,2007
ZACATECAS,12,1.2,2007
AGUASCALIENTES,1,0.0,2008
BAJA CALIFORNIA,1,64.1,2008
BAJA CALIFORNIA SUR,1,12.7,2008
CAMPECHE,1,25.2,2008
COAHUILA,1,5.6,2008
COLIMA,1,0.0,2008
CHIAPAS,1,69.9,2008
CHIHUAHUA,1,20.2,2008
CIUDAD DE MÉXICO,1,0.1,2008
DURANGO,1,0.3,2008
GUANAJUATO,1,0.6,2008
GUERRERO,1,0.0,2008
HIDALGO,1,13.3,2008
JALISCO,1,0.0,2008
ESTADO DE MÉXICO,1,0.2,2008
MICHOACÁN,1,0.2,2008
MORELOS,1,0.0,2008
NAYARIT,1,0.0,2008
NUEVO LEÓN,1,29.4,2008
OAXACA,1,28.2,2008
PUEBLA,1,35.8,2008
QUERÉTARO,1,0.0,2008
QUINTANA ROO,1,62.5,2008
SAN LUIS POTOSÍ,1,10.7,2008
SINALOA,1,0.3,2008
SONORA,1,11.0,2008
TABASCO,1,259.7,2008
TAMAULIPAS,1,22.0,2008
TLAXCALA,1,0.4,2008
VERACRUZ,1,50.2,2008
YUCATÁN,1,29.9,2008
ZACATECAS,1,0.0,2008
AGUASCALIENTES,2,3.1,2008
BAJA CALIFORNIA,2,35.3,2008
BAJA CALIFORNIA SUR,2,0.0,2008
CAMPECHE,2,66.3,2008
COAHUILA,2,0.1,2008
COLIMA,2,0.0,2008
CHIAPAS,2,50.6,2008
CHIHUAHUA,2,1.4,2008
CIUDAD DE MÉXICO,2,2.9,2008
DURANGO,2,1.2,2008
GUANAJUATO,2,2.5,2008
GUERRERO,2,0.0,2008
HIDALGO,2,5.5,2008
JALISCO,2,0.8,2008
ESTADO DE MÉXICO,2,1.1,2008
MICHOACÁN,2,0.8,2008
MORELOS,2,0.4,2008
NAYARIT,2,0.0,2008
NUEVO LEÓN,2,5.2,2008
OAXACA,2,5.1,2008
PUEBLA,2,17.9,2008
QUERÉTARO,2,6.3,2008
QUINTANA ROO,2,28.0,2008
SAN LUIS POTOSÍ,2,10.8,2008
SINALOA,2,1.0,2008
SONORA,2,3.5,2008
TABASCO,2,115.8,2008
TAMAULIPAS,2,22.9,2008
TLAXCALA,2,4.7,2008
VERACRUZ,2,31.6,2008
YUCATÁN,2,87.1,2008
ZACATECAS,2,4.0,2008
AGUASCALIENTES,3,0.0,2008
BAJA CALIFORNIA,3,0.8,2008
BAJA CALIFORNIA SUR,3,0.8,2008
CAMPECHE,3,28.7,2008
COAHUILA,3,6.5,2008
COLIMA,3,0.0,2008
CHIAPAS,3,33.3,2008
CHIHUAHUA,3,2.6,2008
CIUDAD DE MÉXICO,3,3.1,2008
DURANGO,3,0.1,2008
GUANAJUATO,3,0.2,2008
GUERRERO,3,0.1,2008
HIDALGO,3,15.9,2008
JALISCO,3,0.1,2008
ESTADO DE MÉXICO,3,1.9,2008
MICHOACÁN,3,0.0,2008
MORELOS,3,0.0,2008
NAYARIT,3,0.4,2008
NUEVO LEÓN,3,7.5,2008
OAXACA,3,8.0,2008
PUEBLA,3,12.7,2008
QUERÉTARO,3,1.4,2008
QUINTANA ROO,3,46.1,2008
SAN LUIS POTOSÍ,3,5.7,2008
SINALOA,3,1.6,2008
SONORA,3,0.4,2008
TABASCO,3,63.9,2008
TAMAULIPAS,3,3.3,2008
TLAXCALA,3,3.2,2008
VERACRUZ,3,17.9,2008
YUCATÁN,3,45.9,2008
ZACATECAS,3,0.7,2008
AGUASCALIENTES,4,13.2,2008
BAJA CALIFORNIA,4,0.0,2008
BAJA CALIFORNIA SUR,4,0.0,2008
CAMPECHE,4,54.8,2008
COAHUILA,4,15.5,2008
COLIMA,4,0.0,2008
CHIAPAS,4,90.8,2008
CHIHUAHUA,4,0.3,2008
CIUDAD DE MÉXICO,4,39.4,2008
DURANGO,4,2.1,2008
GUANAJUATO,4,3.8,2008
GUERRERO,4,11.2,2008
HIDALGO,4,41.6,2008
JALISCO,4,5.0,2008
ESTADO DE MÉXICO,4,32.1,2008
MICHOACÁN,4,11.2,2008
MORELOS,4,13.9,2008
NAYARIT,4,0.0,2008
NUEVO LEÓN,4,30.9,2008
OAXACA,4,23.2,2008
PUEBLA,4,82.0,2008
QUERÉTARO,4,3.4,2008
QUINTANA ROO,4,17.4,2008
SAN LUIS POTOSÍ,4,32.2,2008
SINALOA,4,0.0,2008
SONORA,4,0.0,2008
TABASCO,4,146.3,2008
TAMAULIPAS,4,50.6,2008
TLAXCALA,4,30.6,2008
VERACRUZ,4,48.2,2008
YUCATÁN,4,24.0,2008
ZACATECAS,4,7.1,2008
AGUASCALIENTES,5,19.6,2008
BAJA CALIFORNIA,5,0.7,2008
BAJA CALIFORNIA SUR,5,0.0,2008
CAMPECHE,5,126.5,2008
COAHUILA,5,70.8,2008
COLIMA,5,1.4,2008
CHIAPAS,5,203.2,2008
CHIHUAHUA,5,11.5,2008
CIUDAD DE MÉXICO,5,42.6,2008
DURANGO,5,9.0,2008
GUANAJUATO,5,19.7,2008
GUERRERO,5,15.4,2008
HIDALGO,5,52.6,2008
JALISCO,5,7.3,2008
ESTADO DE MÉXICO,5,25.9,2008
MICHOACÁN,5,11.7,2008
MORELOS,5,40.7,2008
NAYARIT,5,0.1,2008
NUEVO LEÓN,5,53.6,2008
OAXACA,5,70.3,2008
PUEBLA,5,63.6,2008
QUERÉTARO,5,23.3,2008
QUINTANA ROO,5,91.9,2008
SAN LUIS POTOSÍ,5,55.0,2008
SINALOA,5,0.1,2008
SONORA,5,0.8,2008
TABASCO,5,150.2,2008
TAMAULIPAS,5,50.2,2008
TLAXCALA,5,54.0,2008
VERACRUZ,5,72.8,2008
YUCATÁN,5,44.3,2008
ZACATECAS,5,10.6,2008
AGUASCALIENTES,6,72.2,2008
BAJA CALIFORNIA,6,0.0,2008
BAJA CALIFORNIA SUR,6,0.0,2008
CAMPECHE,6,279.2,2008
COAHUILA,6,20.3,2008
COLIMA,6,88.4,2008
CHIAPAS,6,431.3,2008
CHIHUAHUA,6,30.7,2008
CIUDAD DE MÉXICO,6,152.8,2008
DURANGO,6,35.3,2008
GUANAJUATO,6,140.3,2008
GUERRERO,6,208.2,2008
HIDALGO,6,120.5,2008
JALISCO,6,186.6,2008
ESTADO DE MÉXICO,6,154.1,2008
MICHOACÁN,6,150.7,2008
MORELOS,6,259.7,2008
NAYARIT,6,151.0,2008
NUEVO LEÓN,6,15.9,2008
OAXACA,6,415.8,2008
PUEBLA,6,312.8,2008
QUERÉTARO,6,96.3,2008
QUINTANA ROO,6,193.7,2008
SAN LUIS POTOSÍ,6,197.0,2008
SINALOA,6,16.4,2008
SONORA,6,21.3,2008
TABASCO,6,308.4,2008
TAMAULIPAS,6,96.4,2008
TLAXCALA,6,168.2,2008
VERACRUZ,6,308.2,2008
YUCATÁN,6,208.1,2008
ZACATECAS,6,66.9,2008
AGUASCALIENTES,7,201.0,2008
BAJA CALIFORNIA,7,1.9,2008
BAJA CALIFORNIA SUR,7,5.1,2008
CAMPECHE,7,104.0,2008
COAHUILA,7,74.7,2008
COLIMA,7,342.5,2008
CHIAPAS,7,390.0,2008
CHIHUAHUA,7,179.6,2008
CIUDAD DE MÉXICO,7,164.0,2008
DURANGO,7,166.0,2008
GUANAJUATO,7,247.1,2008
GUERRERO,7,296.5,2008
HIDALGO,7,168.4,2008
JALISCO,7,244.5,2008
ESTADO DE MÉXICO,7,158.7,2008
MICHOACÁN,7,242.9,2008
MORELOS,7,251.5,2008
NAYARIT,7,486.4,2008
NUEVO LEÓN,7,147.3,2008
OAXACA,7,393.2,2008
PUEBLA,7,266.2,2008
QUERÉTARO,7,187.3,2008
QUINTANA ROO,7,123.1,2008
SAN LUIS POTOSÍ,7,380.2,2008
SINALOA,7,236.2,2008
SONORA,7,123.5,2008
TABASCO,7,204.2,2008
TAMAULIPAS,7,347.0,2008
TLAXCALA,7,177.9,2008
VERACRUZ,7,249.7,2008
YUCATÁN,7,110.5,2008
ZACATECAS,7,162.4,2008
AGUASCALIENTES,8,262.7,2008
BAJA CALIFORNIA,8,12.6,2008
BAJA CALIFORNIA SUR,8,8.8,2008
CAMPECHE,8,194.3,2008
COAHUILA,8,208.3,2008
COLIMA,8,164.5,2008
CHIAPAS,8,315.8,2008
CHIHUAHUA,8,163.4,2008
CIUDAD DE MÉXICO,8,184.7,2008
DURANGO,8,232.2,2008
GUANAJUATO,8,208.4,2008
GUERRERO,8,295.7,2008
HIDALGO,8,112.7,2008
JALISCO,8,212.1,2008
ESTADO DE MÉXICO,8,171.9,2008
MICHOACÁN,8,211.6,2008
MORELOS,8,221.1,2008
NAYARIT,8,479.4,2008
NUEVO LEÓN,8,177.5,2008
OAXACA,8,243.6,2008
PUEBLA,8,163.3,2008
QUERÉTARO,8,213.8,2008
QUINTANA ROO,8,44.9,2008
SAN LUIS POTOSÍ,8,226.7,2008
SINALOA,8,258.5,2008
SONORA,8,161.0,2008
TABASCO,8,221.7,2008
TAMAULIPAS,8,184.1,2008
TLAXCALA,8,116.7,2008
VERACRUZ,8,125.0,2008
YUCATÁN,8,67.4,2008
ZACATECAS,8,199.9,2008
AGUASCALIENTES,9,78.5,2008
BAJA CALIFORNIA,9,0.1,2008
BAJA CALIFORNIA SUR,9,98.9,2008
CAMPECHE,9,426.7,2008
COAHUILA,9,45.3,2008
COLIMA,9,255.0,2008
CHIAPAS,9,486.0,2008
CHIHUAHUA,9,103.9,2008
CIUDAD DE MÉXICO,9,113.6,2008
DURANGO,9,161.8,2008
GUANAJUATO,9,101.1,2008
GUERRERO,9,251.3,2008
HIDALGO,9,169.2,2008
JALISCO,9,168.5,2008
ESTADO DE MÉXICO,9,99.4,2008
MICHOACÁN,9,152.3,2008
MORELOS,9,201.4,2008
NAYARIT,9,326.2,2008
NUEVO LEÓN,9,281.1,2008
OAXACA,9,353.2,2008
PUEBLA,9,264.6,2008
QUERÉTARO,9,106.5,2008
QUINTANA ROO,9,128.4,2008
SAN LUIS POTOSÍ,9,307.7,2008
SINALOA,9,190.3,2008
SONORA,9,107.3,2008
TABASCO,9,649.4,2008
TAMAULIPAS,9,199.6,2008
TLAXCALA,9,110.4,2008
VERACRUZ,9,387.1,2008
YUCATÁN,9,199.1,2008
ZACATECAS,9,117.3,2008
AGUASCALIENTES,10,6.4,2008
BAJA CALIFORNIA,10,0.2,2008
BAJA CALIFORNIA SUR,10,4.9,2008
CAMPECHE,10,234.0,2008
COAHUILA,10,8.9,2008
COLIMA,10,81.1,2008
CHIAPAS,10,224.2,2008
CHIHUAHUA,10,33.9,2008
CIUDAD DE MÉXICO,10,37.7,2008
DURANGO,10,34.2,2008
GUANAJUATO,10,8.6,2008
GUERRERO,10,190.2,2008
HIDALGO,10,88.8,2008
JALISCO,10,43.4,2008
ESTADO DE MÉXICO,10,34.3,2008
MICHOACÁN,10,43.1,2008
MORELOS,10,34.0,2008
NAYARIT,10,105.2,2008
NUEVO LEÓN,10,66.5,2008
OAXACA,10,132.4,2008
PUEBLA,10,138.4,2008
QUERÉTARO,10,3.4,2008
QUINTANA ROO,10,431.4,2008
SAN LUIS POTOSÍ,10,133.9,2008
SINALOA,10,33.3,2008
SONORA,10,14.2,2008
TABASCO,10,317.5,2008
TAMAULIPAS,10,47.7,2008
TLAXCALA,10,12.7,2008
VERACRUZ,10,203.8,2008
YUCATÁN,10,67.6,2008
ZACATECAS,10,11.1,2008
AGUASCALIENTES,11,0.0,2008
BAJA CALIFORNIA,11,33.6,2008
BAJA CALIFORNIA SUR,11,23.594581457382933,2008
CAMPECHE,11,4.9,2008
COAHUILA,11,0.4,2008
COLIMA,11,0.2,2008
CHIAPAS,11,25.8,2008
CHIHUAHUA,11,1.9,2008
CIUDAD DE MÉXICO,11,0.0,2008
DURANGO,11,0.1,2008
GUANAJUATO,11,0.0,2008
GUERRERO,11,3.8,2008
HIDALGO,11,11.9,2008
JALISCO,11,0.5,2008
ESTADO DE MÉXICO,11,0.0,2008
MICHOACÁN,11,0.0,2008
MORELOS,11,0.0,2008
NAYARIT,11,1.8,2008
NUEVO LEÓN,11,6.2,2008
OAXACA,11,20.4,2008
PUEBLA,11,24.9,2008
QUERÉTARO,11,0.0,2008
QUINTANA ROO,11,10.2,2008
SAN LUIS POTOSÍ,11,12.8,2008
SINALOA,11,0.2,2008
SONORA,11,12.7,2008
TABASCO,11,54.3,2008
TAMAULIPAS,11,20.8,2008
TLAXCALA,11,0.0,2008
VERACRUZ,11,53.8,2008
YUCATÁN,11,2.9,2008
ZACATECAS,11,0.3,2008
AGUASCALIENTES,12,0.2,2008
BAJA CALIFORNIA,12,111.9,2008
BAJA CALIFORNIA SUR,12,12.0,2008
CAMPECHE,12,15.4,2008
COAHUILA,12,2.6,2008
COLIMA,12,0.0,2008
CHIAPAS,12,34.0,2008
CHIHUAHUA,12,0.7,2008
CIUDAD DE MÉXICO,12,0.0,2008
DURANGO,12,0.3,2008
GUANAJUATO,12,0.5,2008
GUERRERO,12,0.0,2008
HIDALGO,12,3.1,2008
JALISCO,12,0.0,2008
ESTADO DE MÉXICO,12,0.0,2008
MICHOACÁN,12,0.2,2008
MORELOS,12,0.0,2008
NAYARIT,12,0.1,2008
NUEVO LEÓN,12,3.0,2008
OAXACA,12,16.9,2008
PUEBLA,12,13.7,2008
QUERÉTARO,12,0.0,2008
QUINTANA ROO,12,32.3,2008
SAN LUIS POTOSÍ,12,2.6,2008
SINALOA,12,0.0,2008
SONORA,12,2.1,2008
TABASCO,12,125.9,2008
TAMAULIPAS,12,2.4,2008
TLAXCALA,12,1.0,2008
VERACRUZ,12,25.6,2008
YUCATÁN,12,12.5,2008
ZACATECAS,12,0.1,2008
AGUASCALIENTES,1,0.8,2009
BAJA CALIFORNIA,1,3.0,2009
BAJA CALIFORNIA SUR,1,0.6,2009
CAMPECHE,1,31.9,2009
COAHUILA,1,1.7,2009
COLIMA,1,2.0,2009
CHIAPAS,1,47.0,2009
CHIHUAHUA,1,8.2,2009
CIUDAD DE MÉXICO,1,13.2,2009
DURANGO,1,2.3,2009
GUANAJUATO,1,2.6,2009
GUERRERO,1,0.6,2009
HIDALGO,1,21.0,2009
JALISCO,1,4.2,2009
ESTADO DE MÉXICO,1,10.0,2009
MICHOACÁN,1,6.6,2009
MORELOS,1,2.8,2009
NAYARIT,1,0.0,2009
NUEVO LEÓN,1,13.5,2009
OAXACA,1,19.0,2009
PUEBLA,1,23.5,2009
QUERÉTARO,1,10.7,2009
QUINTANA ROO,1,66.4,2009
SAN LUIS POTOSÍ,1,12.3,2009
SINALOA,1,2.5,2009
SONORA,1,7.8,2009
TABASCO,1,152.2,2009
TAMAULIPAS,1,6.6,2009
TLAXCALA,1,5.7,2009
VERACRUZ,1,38.5,2009
YUCATÁN,1,21.9,2009
ZACATECAS,1,1.7,2009
AGUASCALIENTES,2,0.0,2009
BAJA CALIFORNIA,2,56.1,2009
BAJA CALIFORNIA SUR,2,0.7,2009
CAMPECHE,2,14.6,2009
COAHUILA,2,1.5,2009
COLIMA,2,0.0,2009
CHIAPAS,2,18.5,2009
CHIHUAHUA,2,0.7,2009
CIUDAD DE MÉXICO,2,6.8,2009
DURANGO,2,0.3,2009
GUANAJUATO,2,0.1,2009
GUERRERO,2,3.3,2009
HIDALGO,2,19.7,2009
JALISCO,2,0.0,2009
ESTADO DE MÉXICO,2,5.2,2009
MICHOACÁN,2,1.1,2009
MORELOS,2,4.2,2009
NAYARIT,2,0.0,2009
NUEVO LEÓN,2,12.3,2009
OAXACA,2,29.3,2009
PUEBLA,2,58.8,2009
QUERÉTARO,2,0.8,2009
QUINTANA ROO,2,26.6,2009
SAN LUIS POTOSÍ,2,16.3,2009
SINALOA,2,0.0,2009
SONORA,2,6.1,2009
TABASCO,2,48.3,2009
TAMAULIPAS,2,15.2,2009
TLAXCALA,2,0.6,2009
VERACRUZ,2,49.0,2009
YUCATÁN,2,7.7,2009
ZACATECAS,2,0.2,2009
AGUASCALIENTES,3,0.8,2009
BAJA CALIFORNIA,3,0.4,2009
BAJA CALIFORNIA SUR,3,0.0,2009
CAMPECHE,3,13.5,2009
COAHUILA,3,17.7,2009
COLIMA,3,0.0,2009
CHIAPAS,3,29.0,2009
CHIHUAHUA,3,9.9,2009
CIUDAD DE MÉXICO,3,8.6,2009
DURANGO,3,2.4,2009
GUANAJUATO,3,3.8,2009
GUERRERO,3,0.1,2009
HIDALGO,3,8.6,2009
JALISCO,3,1.0,2009
ESTADO DE MÉXICO,3,9.8,2009
MICHOACÁN,3,2.6,2009
MORELOS,3,2.4,2009
NAYARIT,3,0.0,2009
NUEVO LEÓN,3,7.9,2009
OAXACA,3,2.9,2009
PUEBLA,3,12.8,2009
QUERÉTARO,3,4.2,2009
QUINTANA ROO,3,22.3,2009
SAN LUIS POTOSÍ,3,16.4,2009
SINALOA,3,1.0,2009
SONORA,3,4.8,2009
TABASCO,3,44.0,2009
TAMAULIPAS,3,6.6,2009
TLAXCALA,3,12.9,2009
VERACRUZ,3,9.3,2009
YUCATÁN,3,13.3,2009
ZACATECAS,3,1.3,2009
AGUASCALIENTES,4,1.1,2009
BAJA CALIFORNIA,4,6.0,2009
BAJA CALIFORNIA SUR,4,0.0,2009
CAMPECHE,4,16.9,2009
COAHUILA,4,18.6,2009
COLIMA,4,0.0,2009
CHIAPAS,4,27.0,2009
CHIHUAHUA,4,0.1,2009
CIUDAD DE MÉXICO,4,5.9,2009
DURANGO,4,1.8,2009
GUANAJUATO,4,4.3,2009
GUERRERO,4,2.1,2009
HIDALGO,4,5.3,2009
JALISCO,4,1.3,2009
ESTADO DE MÉXICO,4,3.6,2009
MICHOACÁN,4,1.9,2009
MORELOS,4,4.1,2009
NAYARIT,4,0.0,2009
NUEVO LEÓN,4,16.5,2009
OAXACA,4,15.7,2009
PUEBLA,4,29.8,2009
QUERÉTARO,4,1.2,2009
QUINTANA ROO,4,12.0,2009
SAN LUIS POTOSÍ,4,4.7,2009
SINALOA,4,0.0,2009
SONORA,4,0.2,2009
TABASCO,4,72.8,2009
TAMAULIPAS,4,5.1,2009
TLAXCALA,4,1.4,2009
VERACRUZ,4,28.9,2009
YUCATÁN,4,6.3,2009
ZACATECAS,4,2.7,2009
AGUASCALIENTES,5,13.9,2009
BAJA CALIFORNIA,5,0.7,2009
BAJA CALIFORNIA SUR,5,0.1,2009
CAMPECHE,5,28.2,2009
COAHUILA,5,55.3,2009
COLIMA,5,8.2,2009
CHIAPAS,5,168.1,2009
CHIHUAHUA,5,33.1,2009
CIUDAD DE MÉXICO,5,41.7,2009
DURANGO,5,31.3,2009
GUANAJUATO,5,42.2,2009
GUERRERO,5,60.1,2009
HIDALGO,5,74.6,2009
JALISCO,5,40.0,2009
ESTADO DE MÉXICO,5,57.3,2009
MICHOACÁN,5,56.6,2009
MORELOS,5,87.8,2009
NAYARIT,5,15.5,2009
NUEVO LEÓN,5,43.9,2009
OAXACA,5,72.2,2009
PUEBLA,5,91.7,2009
QUERÉTARO,5,40.7,2009
QUINTANA ROO,5,86.5,2009
SAN LUIS POTOSÍ,5,65.9,2009
SINALOA,5,11.6,2009
SONORA,5,11.1,2009
TABASCO,5,97.0,2009
TAMAULIPAS,5,92.9,2009
TLAXCALA,5,72.2,2009
VERACRUZ,5,63.3,2009
YUCATÁN,5,32.8,2009
ZACATECAS,5,27.2,2009
AGUASCALIENTES,6,86.0,2009
BAJA CALIFORNIA,6,1.1,2009
BAJA CALIFORNIA SUR,6,0.9,2009
CAMPECHE,6,173.1,2009
COAHUILA,6,34.9,2009
COLIMA,6,125.6,2009
CHIAPAS,6,369.0,2009
CHIHUAHUA,6,69.6,2009
CIUDAD DE MÉXICO,6,86.3,2009
DURANGO,6,76.5,2009
GUANAJUATO,6,137.3,2009
GUERRERO,6,240.9,2009
HIDALGO,6,79.7,2009
JALISCO,6,129.4,2009
ESTADO DE MÉXICO,6,108.6,2009
MICHOACÁN,6,134.3,2009
MORELOS,6,190.0,2009
NAYARIT,6,249.7,2009
NUEVO LEÓN,6,21.5,2009
OAXACA,6,241.8,2009
PUEBLA,6,168.8,2009
QUERÉTARO,6,88.3,2009
QUINTANA ROO,6,172.2,2009
SAN LUIS POTOSÍ,6,90.4,2009
SINALOA,6,72.3,2009
SONORA,6,40.8,2009
TABASCO,6,176.8,2009
TAMAULIPAS,6,54.5,2009
TLAXCALA,6,124.9,2009
VERACRUZ,6,160.2,2009
YUCATÁN,6,111.1,2009
ZACATECAS,6,86.9,2009
AGUASCALIENTES,7,47.8,2009
BAJA CALIFORNIA,7,0.0,2009
BAJA CALIFORNIA SUR,7,4.1,2009
CAMPECHE,7,163.6,2009
COAHUILA,7,20.8,2009
COLIMA,7,154.8,2009
CHIAPAS,7,214.5,2009
CHIHUAHUA,7,106.1,2009
CIUDAD DE MÉXICO,7,103.6,2009
DURANGO,7,88.7,2009
GUANAJUATO,7,90.1,2009
GUERRERO,7,158.1,2009
HIDALGO,7,46.8,2009
JALISCO,7,147.4,2009
ESTADO DE MÉXICO,7,98.6,2009
MICHOACÁN,7,153.2,2009
MORELOS,7,105.9,2009
NAYARIT,7,251.1,2009
NUEVO LEÓN,7,32.2,2009
OAXACA,7,201.8,2009
PUEBLA,7,153.0,2009
QUERÉTARO,7,59.4,2009
QUINTANA ROO,7,65.3,2009
SAN LUIS POTOSÍ,7,55.8,2009
SINALOA,7,153.1,2009
SONORA,7,108.0,2009
TABASCO,7,114.5,2009
TAMAULIPAS,7,22.4,2009
TLAXCALA,7,68.5,2009
VERACRUZ,7,165.5,2009
YUCATÁN,7,84.6,2009
ZACATECAS,7,71.4,2009
AGUASCALIENTES,8,95.5,2009
BAJA CALIFORNIA,8,1.0,2009
BAJA CALIFORNIA SUR,8,36.8,2009
CAMPECHE,8,252.5,2009
COAHUILA,8,22.6,2009
COLIMA,8,182.9,2009
CHIAPAS,8,333.7,2009
CHIHUAHUA,8,95.0,2009
CIUDAD DE MÉXICO,8,143.0,2009
DURANGO,8,121.4,2009
GUANAJUATO,8,78.9,2009
GUERRERO,8,166.7,2009
HIDALGO,8,97.3,2009
JALISCO,8,142.8,2009
ESTADO DE MÉXICO,8,123.0,2009
MICHOACÁN,8,133.6,2009
MORELOS,8,202.6,2009
NAYARIT,8,296.0,2009
NUEVO LEÓN,8,37.5,2009
OAXACA,8,210.2,2009
PUEBLA,8,164.3,2009
QUERÉTARO,8,77.4,2009
QUINTANA ROO,8,81.2,2009
SAN LUIS POTOSÍ,8,132.9,2009
SINALOA,8,165.5,2009
SONORA,8,95.7,2009
TABASCO,8,248.2,2009
TAMAULIPAS,8,54.2,2009
TLAXCALA,8,88.6,2009
VERACRUZ,8,217.0,2009
YUCATÁN,8,124.6,2009
ZACATECAS,8,101.7,2009
AGUASCALIENTES,9,98.1,2009
BAJA CALIFORNIA,9,0.4,2009
BAJA CALIFORNIA SUR,9,100.0,2009
CAMPECHE,9,190.6,2009
COAHUILA,9,91.3,2009
COLIMA,9,159.6,2009
CHIAPAS,9,300.0,2009
CHIHUAHUA,9,57.2,2009
CIUDAD DE MÉXICO,9,227.8,2009
DURANGO,9,123.9,2009
GUANAJUATO,9,197.3,2009
GUERRERO,9,214.3,2009
HIDALGO,9,247.3,2009
JALISCO,9,155.2,2009
ESTADO DE MÉXICO,9,216.1,2009
MICHOACÁN,9,207.3,2009
MORELOS,9,323.8,2009
NAYARIT,9,215.3,2009
NUEVO LEÓN,9,167.1,2009
OAXACA,9,264.6,2009
PUEBLA,9,349.9,2009
QUERÉTARO,9,125.8,2009
QUINTANA ROO,9,117.8,2009
SAN LUIS POTOSÍ,9,305.7,2009
SINALOA,9,84.5,2009
SONORA,9,70.8,2009
TABASCO,9,251.0,2009
TAMAULIPAS,9,211.9,2009
TLAXCALA,9,214.0,2009
VERACRUZ,9,358.2,2009
YUCATÁN,9,115.4,2009
ZACATECAS,9,112.6,2009
AGUASCALIENTES,10,51.1,2009
BAJA CALIFORNIA,10,0.7,2009
BAJA CALIFORNIA SUR,10,71.1,2009
CAMPECHE,10,64.6,2009
COAHUILA,10,26.5,2009
COLIMA,10,213.4,2009
CHIAPAS,10,245.9,2009
CHIHUAHUA,10,66.5,2009
CIUDAD DE MÉXICO,10,72.1,2009
DURANGO,10,54.6,2009
GUANAJUATO,10,53.5,2009
GUERRERO,10,137.8,2009
HIDALGO,10,145.3,2009
JALISCO,10,66.3,2009
ESTADO DE MÉXICO,10,87.7,2009
MICHOACÁN,10,61.7,2009
MORELOS,10,102.1,2009
NAYARIT,10,131.6,2009
NUEVO LEÓN,10,61.9,2009
OAXACA,10,160.4,2009
PUEBLA,10,132.6,2009
QUERÉTARO,10,63.0,2009
QUINTANA ROO,10,152.4,2009
SAN LUIS POTOSÍ,10,152.2,2009
SINALOA,10,148.2,2009
SONORA,10,85.8,2009
TABASCO,10,158.7,2009
TAMAULIPAS,10,44.9,2009
TLAXCALA,10,66.8,2009
VERACRUZ,10,193.1,2009
YUCATÁN,10,39.9,2009
ZACATECAS,10,38.2,2009
AGUASCALIENTES,11,13.5,2009
BAJA CALIFORNIA,11,12.4,2009
BAJA CALIFORNIA SUR,11,0.3,2009
CAMPECHE,11,137.3,2009
COAHUILA,11,21.2,2009
COLIMA,11,0.0,2009
CHIAPAS,11,142.0,2009
CHIHUAHUA,11,12.1,2009
CIUDAD DE MÉXICO,11,0.7,2009
DURANGO,11,4.6,2009
GUANAJUATO,11,0.4,2009
GUERRERO,11,6.3,2009
HIDALGO,11,18.4,2009
JALISCO,11,6.9,2009
ESTADO DE MÉXICO,11,1.7,2009
MICHOACÁN,11,0.3,2009
MORELOS,11,2.6,2009
NAYARIT,11,47.2,2009
NUEVO LEÓN,11,48.1,2009
OAXACA,11,16.4,2009
PUEBLA,11,30.8,2009
QUERÉTARO,11,2.0,2009
QUINTANA ROO,11,243.3,2009
SAN LUIS POTOSÍ,11,30.9,2009
SINALOA,11,9.4,2009
SONORA,11,5.9,2009
TABASCO,11,255.5,2009
TAMAULIPAS,11,45.6,2009
TLAXCALA,11,4.9,2009
VERACRUZ,11,107.2,2009
YUCATÁN,11,132.3,2009
ZACATECAS,11,25.6,2009
AGUASCALIENTES,12,6.3,2009
BAJA CALIFORNIA,12,33.6,2009
BAJA CALIFORNIA SUR,12,11.0,2009
CAMPECHE,12,46.7,2009
COAHUILA,12,18.7,2009
COLIMA,12,13.9,2009
CHIAPAS,12,58.4,2009
CHIHUAHUA,12,10.4,2009
CIUDAD DE MÉXICO,12,3.4,2009
DURANGO,12,11.6,2009
GUANAJUATO,12,12.7,2009
GUERRERO,12,0.8,2009
HIDALGO,12,26.4,2009
JALISCO,12,9.2,2009
ESTADO DE MÉXICO,12,4.1,2009
MICHOACÁN,12,6.4,2009
MORELOS,12,3.3,2009
NAYARIT,12,74.8,2009
NUEVO LEÓN,12,20.7,2009
OAXACA,12,33.4,2009
PUEBLA,12,20.3,2009
QUERÉTARO,12,16.5,2009
QUINTANA ROO,12,54.8,2009
SAN LUIS POTOSÍ,12,67.5,2009
SINALOA,12,14.5,2009
SONORA,12,7.9,2009
TABASCO,12,111.5,2009
TAMAULIPAS,12,67.7,2009
TLAXCALA,12,6.9,2009
VERACRUZ,12,80.1,2009
YUCATÁN,12,46.4,2009
ZACATECAS,12,18.1,2009
AGUASCALIENTES,1,32.7,2010
BAJA CALIFORNIA,1,79.6,2010
